URL,Date,Time,Week Name,Day,Custom Minute,Custom Second,Timer,Notification,Status,Title,Description,Open URL in Background
    https://localhost/kever/sql_lab3.php?table=45,2023-05-24,07:22,"",,,,One Time,Active,Active,,,No
    https://localhost/kever/sql_lab3.php?table=46,2023-05-24,07:42,"",,,,One Time,Active,Active,,,No
    https://localhost/kever/sql_lab3.php?table=47,2023-05-24,08:02,"",,,,One Time,Active,Active,,,No
    https://localhost/kever/sql_lab3.php?table=48,2023-05-24,08:22,"",,,,One Time,Active,Active,,,No
    https://localhost/kever/sql_lab3.php?table=49,2023-05-24,08:42,"",,,,One Time,Active,Active,,,No
    https://localhost/kever/sql_lab3.php?table=50,2023-05-24,09:02,"",,,,One Time,Active,Active,,,No
    https://localhost/kever/sql_lab3.php?table=51,2023-05-24,09:22,"",,,,One Time,Active,Active,,,No
    https://localhost/kever/sql_lab3.php?table=52,2023-05-24,09:42,"",,,,One Time,Active,Active,,,No
    https://localhost/kever/sql_lab3.php?table=53,2023-05-24,10:02,"",,,,One Time,Active,Active,,,No
    https://localhost/kever/sql_lab3.php?table=54,2023-05-24,10:22,"",,,,One Time,Active,Active,,,No
    https://localhost/kever/sql_lab3.php?table=55,2023-05-24,10:42,"",,,,One Time,Active,Active,,,No
    https://localhost/kever/sql_lab3.php?table=56,2023-05-24,11:02,"",,,,One Time,Active,Active,,,No
    https://localhost/kever/sql_lab3.php?table=57,2023-05-24,11:22,"",,,,One Time,Active,Active,,,No
    https://localhost/kever/sql_lab3.php?table=58,2023-05-24,11:42,"",,,,One Time,Active,Active,,,No
    https://localhost/kever/sql_lab3.php?table=59,2023-05-24,12:02,"",,,,One Time,Active,Active,,,No
    https://localhost/kever/sql_lab3.php?table=60,2023-05-24,12:22,"",,,,One Time,Active,Active,,,No
    https://localhost/kever/sql_lab3.php?table=61,2023-05-24,12:42,"",,,,One Time,Active,Active,,,No
    https://localhost/kever/sql_lab3.php?table=62,2023-05-24,13:02,"",,,,One Time,Active,Active,,,No
    https://localhost/kever/sql_lab3.php?table=63,2023-05-24,13:22,"",,,,One Time,Active,Active,,,No
    https://localhost/kever/sql_lab3.php?table=64,2023-05-24,13:42,"",,,,One Time,Active,Active,,,No
    https://localhost/kever/sql_lab3.php?table=65,2023-05-24,14:02,"",,,,One Time,Active,Active,,,No
    https://localhost/kever/sql_lab3.php?table=66,2023-05-24,14:22,"",,,,One Time,Active,Active,,,No
    https://localhost/kever/sql_lab3.php?table=67,2023-05-24,14:42,"",,,,One Time,Active,Active,,,No
    https://localhost/kever/sql_lab3.php?table=68,2023-05-24,15:02,"",,,,One Time,Active,Active,,,No
    https://localhost/kever/sql_lab3.php?table=69,2023-05-24,15:22,"",,,,One Time,Active,Active,,,No
    https://localhost/kever/sql_lab3.php?table=70,2023-05-24,15:42,"",,,,One Time,Active,Active,,,No
    https://localhost/kever/sql_lab3.php?table=71,2023-05-24,16:02,"",,,,One Time,Active,Active,,,No
    https://localhost/kever/sql_lab3.php?table=72,2023-05-24,16:22,"",,,,One Time,Active,Active,,,No
    https://localhost/kever/sql_lab3.php?table=73,2023-05-24,16:42,"",,,,One Time,Active,Active,,,No
    https://localhost/kever/sql_lab3.php?table=74,2023-05-24,17:02,"",,,,One Time,Active,Active,,,No
    https://localhost/kever/sql_lab3.php?table=75,2023-05-24,17:22,"",,,,One Time,Active,Active,,,No
    https://localhost/kever/sql_lab3.php?table=76,2023-05-24,17:42,"",,,,One Time,Active,Active,,,No
    https://localhost/kever/sql_lab3.php?table=77,2023-05-24,18:02,"",,,,One Time,Active,Active,,,No
    https://localhost/kever/sql_lab3.php?table=78,2023-05-24,18:22,"",,,,One Time,Active,Active,,,No
    https://localhost/kever/sql_lab3.php?table=79,2023-05-24,18:42,"",,,,One Time,Active,Active,,,No
    https://localhost/kever/sql_lab3.php?table=80,2023-05-24,19:02,"",,,,One Time,Active,Active,,,No
    https://localhost/kever/sql_lab3.php?table=81,2023-05-24,19:22,"",,,,One Time,Active,Active,,,No
    https://localhost/kever/sql_lab3.php?table=82,2023-05-24,19:42,"",,,,One Time,Active,Active,,,No
    https://localhost/kever/sql_lab3.php?table=83,2023-05-24,20:02,"",,,,One Time,Active,Active,,,No
    https://localhost/kever/sql_lab3.php?table=84,2023-05-24,20:22,"",,,,One Time,Active,Active,,,No
    https://localhost/kever/sql_lab3.php?table=85,2023-05-24,20:42,"",,,,One Time,Active,Active,,,No
    https://localhost/kever/sql_lab3.php?table=86,2023-05-24,21:02,"",,,,One Time,Active,Active,,,No
    https://localhost/kever/sql_lab3.php?table=87,2023-05-24,21:22,"",,,,One Time,Active,Active,,,No
    https://localhost/kever/sql_lab3.php?table=88,2023-05-24,21:42,"",,,,One Time,Active,Active,,,No
    https://localhost/kever/sql_lab3.php?table=89,2023-05-24,22:02,"",,,,One Time,Active,Active,,,No
    https://localhost/kever/sql_lab3.php?table=90,2023-05-24,22:22,"",,,,One Time,Active,Active,,,No
    https://localhost/kever/sql_lab3.php?table=91,2023-05-24,22:42,"",,,,One Time,Active,Active,,,No
    https://localhost/kever/sql_lab3.php?table=92,2023-05-24,23:02,"",,,,One Time,Active,Active,,,No
    https://localhost/kever/sql_lab3.php?table=93,2023-05-24,23:22,"",,,,One Time,Active,Active,,,No
    https://localhost/kever/sql_lab3.php?table=94,2023-05-24,23:42,"",,,,One Time,Active,Active,,,No
    https://localhost/kever/sql_lab3.php?table=95,2023-05-24,00:02,"",,,,One Time,Active,Active,,,No
    
